Body Type,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Sex_female,Sex_male,Energy efficiency_No,Energy efficiency_Sometimes,Energy efficiency_Yes,Cooking_Oven,Cooking_Microwave,Cooking_Grill,Cooking_Airfryer,Cooking_Stove,Recycling_Metal,Recycling_Paper,Recycling_Glass,Recycling_Plastic
2,2,1,3,1,2,19616,2,210,2,4,7,26,1,2238,True,False,True,False,False,True,False,False,False,True,True,False,False,False
3,1,0,1,0,2,9723,1,9,3,3,9,38,5,1892,True,False,True,False,False,False,True,False,False,True,True,False,False,False
2,3,3,2,2,0,11770,0,2472,0,1,14,47,6,2595,False,True,False,True,False,True,True,False,False,False,True,False,False,False
2,3,2,2,0,1,13390,1,74,1,3,20,5,7,1074,False,True,False,True,False,False,True,True,True,False,True,True,True,True
3,1,1,3,2,2,22687,3,8457,2,1,3,5,6,4743,True,False,False,False,True,True,False,False,False,False,False,True,False,False
2,1,0,2,1,1,12281,2,658,2,1,22,18,9,1647,False,True,False,True,False,True,True,False,False,True,True,True,True,False
0,0,0,2,2,0,4776,1,5363,1,4,9,11,19,1832,True,False,False,True,False,False,False,True,True,False,False,False,False,False
0,0,3,3,0,1,5032,3,54,3,3,5,39,15,2322,True,False,True,False,False,False,True,False,False,True,False,True,True,True
2,3,1,2,1,0,17058,2,1376,1,3,3,31,15,2494,False,True,False,False,True,False,True,True,True,False,False,False,True,False
0,2,1,2,1,2,11514,1,440,3,1,8,23,18,1178,True,False,False,True,False,False,True,True,True,False,False,False,True,False
1,1,3,2,1,0,12452,0,1561,3,4,12,27,21,1427,True,False,True,False,False,False,True,False,False,True,False,True,False,True
3,1,3,3,0,0,9467,3,69,1,5,9,4,4,3226,False,True,False,True,False,True,True,False,False,True,False,False,False,False
0,3,2,3,0,2,9723,1,92,2,3,18,27,4,1593,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,0,0,2,1,9467,1,2893,2,6,13,16,10,1732,True,False,False,True,False,True,True,True,True,True,True,False,True,True
3,2,0,1,1,2,10490,1,1989,0,6,13,23,8,1743,False,True,True,False,False,True,False,False,False,True,True,True,False,True
2,1,0,0,1,0,19190,3,692,0,6,9,24,15,2101,True,False,True,False,False,True,False,False,False,True,True,True,True,True
1,2,3,0,0,2,18678,2,7,3,4,23,42,14,2609,False,True,False,True,False,True,True,True,True,False,False,False,False,False
2,2,1,2,1,2,8870,1,948,2,6,1,6,22,1565,True,False,False,False,True,False,False,True,True,True,False,True,False,False
0,0,3,0,2,2,10746,3,7622,1,2,6,37,9,5272,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1,3,3,2,0,2,24563,0,51,0,4,15,22,6,1220,True,False,True,False,False,True,False,False,False,True,True,True,True,False
1,0,2,0,2,2,24051,1,2237,2,6,0,8,5,1300,False,True,True,False,False,True,False,True,True,False,True,False,True,True
3,2,0,2,1,0,5885,1,1804,2,1,6,3,7,1024,True,False,True,False,False,True,True,False,False,True,True,False,False,False
2,3,2,2,0,1,9381,0,85,0,3,14,4,3,706,False,True,False,True,False,True,True,True,True,True,True,True,True,True
3,1,1,3,2,2,14072,2,472,0,4,17,24,20,2582,False,True,False,False,True,False,True,False,False,False,False,True,True,False
